1024	.00238306 .00091300
2048	.03637525 .00364125
3072	.09120406 .00825406
4096	.16506850 .01478506
5120	.25950631 .02336256
6144	.36529318 .03346593
7168	.48801987 .04518075
8192	.64132668 .05897762
9216	.76147912 .07416950
10240	.90184537 .09140756
11264	1.05889112 .11064906
12288	1.21593737 .13193125
13312	1.42715318 .15488393
14336	1.63646462 .17985112
15360	1.85494806 .20584112
16384	2.08450250 .23486475
