Block number: 92; Target: 6195135;    Solution: 10354896
0: 61;  1: 32;  


Block number: 91; Target: 69494081;    Solution: 6195135
0: 60;  1: 32;  


Block number: 91; Target: 69494081;    Solution: 6195135
0: 60;  1: 32;  


Block number: 90; Target: 22437531;    Solution: 69494081
0: 60;  1: 31;  


Block number: 90; Target: 22437531;    Solution: 69494081
0: 60;  1: 31;  


Block number: 89; Target: 61891823;    Solution: 22437531
0: 59;  1: 31;  


Block number: 89; Target: 61891823;    Solution: 22437531
0: 59;  1: 31;  


Block number: 88; Target: 78196679;    Solution: 61891823
0: 59;  1: 30;  


Block number: 88; Target: 78196679;    Solution: 61891823
0: 59;  1: 30;  


Block number: 87; Target: 65991633;    Solution: 78196679
0: 58;  1: 30;  


Block number: 87; Target: 65991633;    Solution: 78196679
0: 58;  1: 30;  


Block number: 86; Target: 65628990;    Solution: 65991633
0: 58;  1: 29;  


Block number: 86; Target: 65628990;    Solution: 65991633
0: 58;  1: 29;  


Block number: 85; Target: 48588205;    Solution: 65628990
0: 58;  1: 28;  


Block number: 85; Target: 48588205;    Solution: 65628990
0: 58;  1: 28;  


Block number: 84; Target: 78381764;    Solution: 48588205
0: 57;  1: 28;  


Block number: 84; Target: 78381764;    Solution: 48588205
0: 57;  1: 28;  


Block number: 84; Target: 78381764;    Solution: 48588205
0: 57;  1: 28;  


Block number: 83; Target: 43707060;    Solution: 78381764
0: 56;  1: 28;  


Block number: 83; Target: 43707060;    Solution: 78381764
0: 56;  1: 28;  


Block number: 82; Target: 69854895;    Solution: 43707060
0: 56;  1: 27;  


Block number: 82; Target: 69854895;    Solution: 43707060
0: 56;  1: 27;  


Block number: 81; Target: 62526429;    Solution: 69854895
0: 56;  1: 26;  


Block number: 81; Target: 62526429;    Solution: 69854895
0: 56;  1: 26;  


Block number: 80; Target: 45987616;    Solution: 62526429
0: 56;  1: 25;  


Block number: 80; Target: 45987616;    Solution: 62526429
0: 56;  1: 25;  


Block number: 79; Target: 40365341;    Solution: 45987616
0: 55;  1: 25;  


Block number: 79; Target: 40365341;    Solution: 45987616
0: 55;  1: 25;  


Block number: 78; Target: 25904313;    Solution: 40365341
0: 54;  1: 25;  


Block number: 78; Target: 25904313;    Solution: 40365341
0: 54;  1: 25;  


Block number: 77; Target: 304489;    Solution: 25904313
0: 54;  1: 24;  


Block number: 77; Target: 304489;    Solution: 25904313
0: 54;  1: 24;  


Block number: 76; Target: 2650086;    Solution: 304489
0: 54;  1: 23;  


Block number: 76; Target: 2650086;    Solution: 304489
0: 54;  1: 23;  


Block number: 75; Target: 84362280;    Solution: 2650086
0: 54;  1: 22;  


Block number: 75; Target: 84362280;    Solution: 2650086
0: 54;  1: 22;  


Block number: 74; Target: 67970200;    Solution: 84362280
0: 53;  1: 22;  


Block number: 74; Target: 67970200;    Solution: 84362280
0: 53;  1: 22;  


Block number: 73; Target: 58412752;    Solution: 67970200
0: 53;  1: 21;  


Block number: 73; Target: 58412752;    Solution: 67970200
0: 53;  1: 21;  


Block number: 72; Target: 45770274;    Solution: 58412752
0: 52;  1: 21;  


Block number: 72; Target: 45770274;    Solution: 58412752
0: 52;  1: 21;  


Block number: 71; Target: 11355490;    Solution: 45770274
0: 51;  1: 21;  


Block number: 71; Target: 11355490;    Solution: 45770274
0: 51;  1: 21;  


Block number: 70; Target: 73967660;    Solution: 11355490
0: 51;  1: 20;  


Block number: 70; Target: 73967660;    Solution: 11355490
0: 51;  1: 20;  


Block number: 69; Target: 13494164;    Solution: 73967660
0: 50;  1: 20;  


Block number: 69; Target: 13494164;    Solution: 73967660
0: 50;  1: 20;  


Block number: 68; Target: 80446976;    Solution: 13494164
0: 50;  1: 19;  


Block number: 68; Target: 80446976;    Solution: 13494164
0: 50;  1: 19;  


Block number: 67; Target: 93761055;    Solution: 80446976
0: 50;  1: 18;  


Block number: 67; Target: 93761055;    Solution: 80446976
0: 50;  1: 18;  


Block number: 66; Target: 46331620;    Solution: 93761055
0: 50;  1: 17;  


Block number: 66; Target: 46331620;    Solution: 93761055
0: 50;  1: 17;  


Block number: 65; Target: 32094410;    Solution: 46331620
0: 49;  1: 17;  


Block number: 65; Target: 32094410;    Solution: 46331620
0: 49;  1: 17;  


Block number: 64; Target: 63736114;    Solution: 32094410
0: 49;  1: 16;  


Block number: 64; Target: 63736114;    Solution: 32094410
0: 49;  1: 16;  


Block number: 63; Target: 64846392;    Solution: 63736114
0: 49;  1: 15;  


Block number: 63; Target: 64846392;    Solution: 63736114
0: 49;  1: 15;  


Block number: 62; Target: 51063598;    Solution: 64846392
0: 49;  1: 14;  


Block number: 62; Target: 51063598;    Solution: 64846392
0: 49;  1: 14;  


Block number: 61; Target: 75173789;    Solution: 51063598
0: 48;  1: 14;  


Block number: 61; Target: 75173789;    Solution: 51063598
0: 48;  1: 14;  


Block number: 60; Target: 18827285;    Solution: 75173789
0: 48;  1: 13;  


Block number: 60; Target: 18827285;    Solution: 75173789
0: 48;  1: 13;  


Block number: 59; Target: 97920191;    Solution: 18827285
0: 47;  1: 13;  


Block number: 59; Target: 97920191;    Solution: 18827285
0: 47;  1: 13;  


Block number: 58; Target: 76800530;    Solution: 97920191
0: 46;  1: 13;  


Block number: 58; Target: 76800530;    Solution: 97920191
0: 46;  1: 13;  


Block number: 57; Target: 52952034;    Solution: 76800530
0: 45;  1: 13;  


Block number: 57; Target: 52952034;    Solution: 76800530
0: 45;  1: 13;  


Block number: 56; Target: 95457127;    Solution: 52952034
0: 44;  1: 13;  


Block number: 56; Target: 95457127;    Solution: 52952034
0: 44;  1: 13;  


Block number: 55; Target: 1624980;    Solution: 95457127
0: 44;  1: 12;  


Block number: 55; Target: 1624980;    Solution: 95457127
0: 44;  1: 12;  


Block number: 54; Target: 84094204;    Solution: 1624980
0: 43;  1: 12;  


Block number: 54; Target: 84094204;    Solution: 1624980
0: 43;  1: 12;  


Block number: 53; Target: 44127108;    Solution: 84094204
0: 43;  1: 11;  


Block number: 53; Target: 44127108;    Solution: 84094204
0: 43;  1: 11;  


Block number: 52; Target: 69505288;    Solution: 44127108
0: 42;  1: 11;  


Block number: 52; Target: 69505288;    Solution: 44127108
0: 42;  1: 11;  


Block number: 51; Target: 99906352;    Solution: 69505288
0: 42;  1: 10;  


Block number: 51; Target: 99906352;    Solution: 69505288
0: 42;  1: 10;  


Block number: 50; Target: 99200086;    Solution: 99906352
0: 42;  1: 9;  


Block number: 50; Target: 99200086;    Solution: 99906352
0: 42;  1: 9;  


Block number: 49; Target: 88308064;    Solution: 99200086
0: 41;  1: 9;  


Block number: 49; Target: 88308064;    Solution: 99200086
0: 41;  1: 9;  


Block number: 48; Target: 72401243;    Solution: 88308064
0: 41;  1: 8;  


Block number: 48; Target: 72401243;    Solution: 88308064
0: 41;  1: 8;  


Block number: 47; Target: 40993578;    Solution: 72401243
0: 41;  1: 7;  


Block number: 47; Target: 40993578;    Solution: 72401243
0: 41;  1: 7;  


Block number: 46; Target: 84287372;    Solution: 40993578
0: 40;  1: 7;  


Block number: 46; Target: 84287372;    Solution: 40993578
0: 40;  1: 7;  


Block number: 45; Target: 3853758;    Solution: 84287372
0: 39;  1: 7;  


Block number: 45; Target: 3853758;    Solution: 84287372
0: 39;  1: 7;  


Block number: 44; Target: 99443962;    Solution: 3853758
0: 38;  1: 7;  


Block number: 44; Target: 99443962;    Solution: 3853758
0: 38;  1: 7;  


Block number: 43; Target: 14929440;    Solution: 99443962
0: 37;  1: 7;  


Block number: 43; Target: 14929440;    Solution: 99443962
0: 37;  1: 7;  


Block number: 42; Target: 34863262;    Solution: 14929440
0: 37;  1: 6;  


Block number: 42; Target: 34863262;    Solution: 14929440
0: 37;  1: 6;  


