5000 0.000023 8.725180 1 4999
7500 0.000024 9.142725 1 7500
10000 0.000024 9.421086 1 9999
12500 0.000024 9.638227 1 12497
15000 0.000025 9.834152 1 14995
17500 0.000024 9.973115 1 17500
20000 0.000025 10.125989 1 19997
22500 0.000025 10.253059 1 22499
25000 0.000025 10.347217 1 24998
27500 0.000025 10.435273 1 27496
30000 0.000026 10.540066 1 29999
32500 0.000025 10.606636 1 32500
35000 0.000025 10.675859 1 34995
37500 0.000025 10.747528 1 37499
40000 0.000025 10.809250 1 39999
42500 0.000025 10.872735 1 42492
45000 0.000025 10.944082 1 45000
47500 0.000026 10.985130 1 47488
50000 0.000025 11.033505 1 49997
