5000 0.002562 2345.485600 1 4992
7500 0.003938 3577.496133 1 7488
10000 0.003502 3176.279900 1 9969
12500 0.004281 3777.733040 1 12449
15000 0.005858 5494.130867 31 14875
17500 0.006960 6284.272857 1 17445
20000 0.007911 7394.847650 1 19804
22500 0.015207 14085.544089 373 22369
25000 0.012162 10798.345360 34 24979
27500 0.008482 7549.012182 1 27494
30000 0.016354 14825.319500 1 29927
32500 0.014529 12918.718954 1 32439
35000 0.020523 18946.436343 19 34934
37500 0.021191 19016.071600 217 37402
40000 0.028630 22920.712000 1 39791
42500 0.023089 20606.955765 574 42467
45000 0.031091 29115.020578 147 44633
47500 0.026763 24586.457663 27 47427
50000 0.031584 29272.216840 70 49842
