5000 0.000046 11.364400 1 13
7500 0.000048 11.909600 1 13
10000 0.000044 12.363100 1 14
12500 0.000050 12.690480 1 14
15000 0.000072 12.908733 1 14
17500 0.000048 13.128457 1 15
20000 0.000047 13.362400 1 15
22500 0.000050 13.544356 1 15
25000 0.000057 13.689920 1 15
27500 0.000051 13.809018 1 15
30000 0.000048 13.908267 1 15
32500 0.000056 13.992246 1 15
35000 0.000052 14.128029 1 16
37500 0.000059 14.252827 1 16
40000 0.000053 14.362025 1 16
42500 0.000053 14.458376 1 16
45000 0.000053 14.544022 1 16
47500 0.000051 14.620653 1 16
50000 0.000053 14.689620 1 16
