5000 0.002044 2500.500000 1 5000
7500 0.003033 3750.500000 1 7500
10000 0.004075 5000.500000 1 10000
12500 0.005103 6250.500000 1 12500
15000 0.005878 7500.500000 1 15000
17500 0.006894 8750.500000 1 17500
20000 0.008047 10000.500000 1 20000
22500 0.009349 11250.500000 1 22500
25000 0.010118 12500.500000 1 25000
27500 0.011097 13750.500000 1 27500
30000 0.013687 15000.500000 1 30000
32500 0.014772 16250.500000 1 32500
35000 0.014538 17500.500000 1 35000
37500 0.015643 18750.500000 1 37500
40000 0.016359 20000.500000 1 40000
42500 0.017308 21250.500000 1 42500
45000 0.018258 22500.500000 1 45000
47500 0.019509 23750.500000 1 47500
50000 0.020485 25000.500000 1 50000
