5000 0.000039 11.506258 3 13
7500 0.000042 12.203784 3 13
10000 0.000040 12.504836 1 14
12500 0.000044 13.111170 1 14
15000 0.000044 13.204601 1 14
17500 0.000043 13.445269 5 15
20000 0.000042 13.504168 3 15
22500 0.000048 13.643181 5 15
25000 0.000052 14.110964 4 15
27500 0.000048 14.129328 5 15
30000 0.000045 14.203771 5 15
32500 0.000050 14.226052 4 15
35000 0.000049 14.446438 4 16
37500 0.000043 14.485601 4 16
40000 0.000043 14.504656 3 16
42500 0.000046 14.632851 4 16
45000 0.000044 14.643347 4 16
47500 0.000048 14.683898 5 16
50000 0.000052 15.110733 4 16
