1000 0.049218 11018.606000 9704 14590
1500 0.084068 17676.616000 15699 21415
2000 0.099890 24787.318000 21861 31284
2500 0.151560 32051.042000 28300 39281
3000 0.186664 39522.522000 35916 46374
3500 0.219388 47385.292000 42964 56887
4000 0.283902 54876.500000 49387 69876
4500 0.291818 62998.990000 57297 75012
5000 0.314738 70887.126000 64066 89395
5500 0.338792 79217.756000 72402 98328
6000 0.394554 87432.116000 79393 100628
6500 0.418070 95640.576000 87790 110392
7000 0.457318 104346.590000 95497 127193
7500 0.550484 112616.840000 102616 132988
8000 0.584954 120924.664000 110670 141498
8500 0.574768 129924.510000 119123 156469
9000 0.631760 137946.242000 125684 165223
9500 0.679496 146899.332000 133969 175995
10000 0.867668 155648.612000 142656 189384
