1000 0.056414 10948.462000 9790 13329
1500 0.110852 17731.556000 15748 22555
2000 0.140916 24767.106000 22420 30061
2500 0.195002 32102.990000 28884 39210
3000 0.215130 39643.728000 36080 47209
3500 0.241284 47197.024000 42971 56806
4000 0.293304 55215.512000 49742 63646
4500 0.347160 62999.700000 57190 78467
5000 0.409950 71067.382000 64341 84632
5500 0.431144 79097.736000 71171 95693
6000 0.462708 87459.774000 79300 106901
6500 0.505938 95693.806000 87220 117740
7000 0.581852 103500.852000 95000 126788
7500 0.631354 112569.962000 102738 133840
8000 0.708598 121151.900000 110873 147200
8500 0.807942 129593.588000 117075 157834
9000 0.780470 138257.626000 125932 162340
9500 0.824346 146970.224000 134560 175626
10000 0.874068 155777.784000 142827 184807
